entry_id	source	part_of_speech	level	user_ukrainian	prior_v7_ukrainian	prior_v7_present	action
ox5000-716808837b74db6359aa	coincidence	noun	B2	збіг		no	activate_user_tail_identity
ox5000-8c5031daad7f45108dc2	collector	noun	B2	колекціонер		no	activate_user_tail_identity
ox5000-d986169e6087570a695b	colony	noun	B2	колонія		no	activate_user_tail_identity
ox5000-e8838df3182b0d30fd61	colourful	adjective	B2	барвистий		no	activate_user_tail_identity
ox5000-85c56babf231b6fd11a6	comic	adjective	B2	смішний		no	activate_user_tail_identity
ox5000-3ef335dbc548cf6ee9a2	comic	noun	B2	комікс		no	activate_user_tail_identity
ox5000-8088b7e5636be8851c0c	commander	noun	B2	командир		no	activate_user_tail_identity
ox5000-39d12fcbbe01c1f981f5	comparative	adjective	B2	порівняльний		no	activate_user_tail_identity
ox5000-3b7af52b2f41a82a1271	completion	noun	B2	завершення		no	activate_user_tail_identity
ox5000-e07de55ff108c88cf492	compose	verb	B2	складати		no	activate_user_tail_identity
ox5000-9a75af8e33d69fd7d823	composer	noun	B2	композитор	композитор	yes	replace_v7_with_user_value
ox5000-0f76508d4a3a6e8d10e7	compound	noun	B2	сполука		no	activate_user_tail_identity
ox5000-cef7e9caa766c637d105	comprehensive	adjective	B2	всебічний		no	activate_user_tail_identity
ox5000-6836ebe09ea109e5cb9c	comprise	verb	B2	включати		no	activate_user_tail_identity
ox5000-ab47bcb0aeacbb3a4f2b	compulsory	adjective	B2	обов'язковий		no	activate_user_tail_identity
ox5000-3dbc882686b6ebef26d1	concrete	adjective	B2	конкретний		no	activate_user_tail_identity
ox5000-d782f68d3229c5a378fe	concrete	noun	B2	бетон	бетон	yes	replace_v7_with_user_value
ox5000-5bc4fd2b67e8c09eca85	confess	verb	B2	зізнаватися		no	activate_user_tail_identity
ox5000-85a7a64b9f86bcca1831	confusion	noun	B2	плутанина		no	activate_user_tail_identity
ox5000-c88a5ab0c123045d4363	consequently	adverb	B2	внаслідок цього		no	activate_user_tail_identity
ox5000-0af7e2fe2fa36ccfdcac	conservation	noun	B2	збереження		no	activate_user_tail_identity
ox5000-26a00e51322ff7c8d3ee	considerable	adjective	B2	значний		no	activate_user_tail_identity
ox5000-326407a82f0ca95e4a7e	considerably	adverb	B2	значно		no	activate_user_tail_identity
ox5000-29eb47fd6a314aa1730d	consistently	adverb	B2	послідовно		no	activate_user_tail_identity
ox5000-b3dd4396526c004c1d2a	conspiracy	noun	B2	змова		no	activate_user_tail_identity
ox5000-53a7b9ea5ca0a81c0606	consult	verb	B2	консультуватися		no	activate_user_tail_identity
ox5000-e55a43ce5b36ea4927c8	consultant	noun	B2	консультант		no	activate_user_tail_identity
ox5000-3c252e710be02044ad41	consumption	noun	B2	споживання		no	activate_user_tail_identity
ox5000-82041bb10d995697e45c	controversial	adjective	B2	суперечливий		no	activate_user_tail_identity
ox5000-e8a0747e227d712361ce	controversy	noun	B2	суперечка		no	activate_user_tail_identity
ox5000-dec69195d3cbcb283102	convenience	noun	B2	зручність		no	activate_user_tail_identity
ox5000-0f41dc7cf551486cfea5	convention	noun	B2	конвенція; з'їзд		no	activate_user_tail_identity
ox5000-e1c13a38e16cdfc2623d	conventional	adjective	B2	традиційний		no	activate_user_tail_identity
ox5000-3ed6772c28d9fdbd70ca	convey	verb	B2	передавати		no	activate_user_tail_identity
ox5000-acdf0358f54cd515da09	convincing	adjective	B2	переконливий		no	activate_user_tail_identity
ox5000-7a10e528e2e5ee26cb22	cope	verb	B2	справлятися		no	activate_user_tail_identity
ox5000-71efa31e1845bf3e367e	corporation	noun	B2	корпорація		no	activate_user_tail_identity
ox5000-1c94148d8ef30f683882	corridor	noun	B2	коридор		no	activate_user_tail_identity
ox5000-a5d502e140ed298b6b90	corrupt	adjective	C1	корумпований		no	activate_user_tail_identity
ox5000-9ebdcc1221c51b64dc68	corruption	noun	C1	корупція		no	activate_user_tail_identity
ox5000-66fcf81c27cba109d948	counter	noun	B2	прилавок		no	activate_user_tail_identity
ox5000-7ab982c1e86cfa8707dd	coup	noun	C1	переворот		no	activate_user_tail_identity
ox5000-55a15b7d5ef384c80100	coverage	noun	B2	охоплення; висвітлення		no	activate_user_tail_identity
ox5000-d1c900d343f498dba838	crack	noun	B2	тріщина		no	activate_user_tail_identity
ox5000-b4e92bed580e34479f83	crack	verb	B2	тріскатися		no	activate_user_tail_identity
ox5000-58b2e3328e4ac0838b4d	craft	noun	B2	ремесло		no	activate_user_tail_identity
ox5000-95c41b3fd9cb792c67d3	creativity	noun	B2	творчість		no	activate_user_tail_identity
ox5000-ce478e8e55423fc0eab3	critically	adverb	B2	критично		no	activate_user_tail_identity
ox5000-83013615bdf6bfabd81c	cruise	noun	B2	круїз		no	activate_user_tail_identity
ox5000-66932a98dca84a2dbbc3	cruise	verb	B2	здійснювати круїз		no	activate_user_tail_identity
ox5000-816dc4076d218bff7be8	cue	noun	B2	сигнал		no	activate_user_tail_identity
ox5000-bd34112b30a90cadea44	cult	adjective	C1	культовий		no	activate_user_tail_identity
ox5000-f0ac4360614dd59c0109	cult	noun	C1	культ		no	activate_user_tail_identity
ox5000-979c0fd9679daf0c797f	curious	adjective	B2	допитливий		no	activate_user_tail_identity
ox5000-0061f78f727f6b7f1472	curriculum	noun	B2	навчальна програма		no	activate_user_tail_identity
ox5000-6ae71c9ddb8dfc06bde3	cute	adjective	B2	милий		no	activate_user_tail_identity
ox5000-90712ba3e8da49f8900a	dairy	adjective	B2	молочний		no	activate_user_tail_identity
ox5000-d88bfcbe9f4406457552	dairy	noun	B2	молочні продукти		no	activate_user_tail_identity
ox5000-558d5b9a795fc132d65a	dare	verb	B2	наважуватися		no	activate_user_tail_identity
ox5000-e3068d3ca8d1e091b785	darkness	noun	B2	темрява	темрява	yes	replace_v7_with_user_value
ox5000-fc30e2bef2db8ea80919	database	noun	B2	база даних		no	activate_user_tail_identity
ox5000-4071455ab57c18eb70f1	deadline	noun	B2	кінцевий термін		no	activate_user_tail_identity
ox5000-9d962d3c830072d569ab	deadly	adjective	B2	смертельний		no	activate_user_tail_identity
ox5000-46328b590c1ec5303a0c	dealer	noun	B2	дилер; торговець		no	activate_user_tail_identity
ox5000-0c6fa7977832afceb6d7	deck	noun	B2	палуба; колода		no	activate_user_tail_identity
ox5000-8de1d29a7d671e7035ab	defender	noun	B2	захисник		no	activate_user_tail_identity
ox5000-e841597e446a171297b2	delete	verb	B2	видаляти		no	activate_user_tail_identity
ox5000-adf847cb368aff039402	democracy	noun	B2	демократія	демократія	yes	replace_v7_with_user_value
ox5000-df0c2f847440bde50b2f	democratic	adjective	B2	демократичний		no	activate_user_tail_identity
ox5000-75f4e15f239ab6722fa1	demonstration	noun	B2	демонстрація		no	activate_user_tail_identity
ox5000-e32b57bb1abb824248d0	depart	verb	B2	від'їжджати		no	activate_user_tail_identity
ox5000-854fea13ca3a1e284c5e	dependent	adjective	B2	залежний		no	activate_user_tail_identity
ox5000-14bbb1e944709030158a	deposit	noun	B2	депозит; завдаток		no	activate_user_tail_identity
ox5000-0e8d749dcccf250478e8	depression	noun	B2	депресія		no	activate_user_tail_identity
ox5000-71e206a3f3fcd711ce46	derive	verb	B2	походити; виводити		no	activate_user_tail_identity
ox5000-d2c5893907a6fb9d1136	desperately	adverb	B2	відчайдушно		no	activate_user_tail_identity
ox5000-850f52e28a1e074a2e01	destruction	noun	B2	руйнування		no	activate_user_tail_identity
ox5000-5b3bd8fde7b374b2bfab	determination	noun	B2	рішучість		no	activate_user_tail_identity
ox5000-56ba360389067adbba25	devote	verb	B2	присвячувати		no	activate_user_tail_identity
ox5000-20aefe39996728251d78	differ	verb	B2	відрізнятися		no	activate_user_tail_identity
ox5000-80fd9e80dfc8af738c00	disability	noun	B2	інвалідність		no	activate_user_tail_identity
ox5000-dc02fc8291ad0b3d636e	disabled	adjective	B2	з інвалідністю		no	activate_user_tail_identity
ox5000-cf8453ee7b04d2901e89	disagreement	noun	B2	незгода		no	activate_user_tail_identity
ox5000-7cd186c49026db39bc01	disappoint	verb	B2	розчаровувати		no	activate_user_tail_identity
ox5000-870e1a0c943fb0418b9d	disappointment	noun	B2	розчарування		no	activate_user_tail_identity
ox5000-7218b3757288c078fffe	discourage	verb	B2	знеохочувати		no	activate_user_tail_identity
ox5000-d779cdf09bbb40a923d2	disorder	noun	B2	розлад		no	activate_user_tail_identity
ox5000-5e7d80af5eef97168291	distant	adjective	B2	віддалений		no	activate_user_tail_identity
ox5000-1d3333e465f30469350d	distinct	adjective	B2	відмінний; чітко окреслений		no	activate_user_tail_identity
ox5000-a0c4ad550df69bfe8740	distinguish	verb	B2	розрізняти		no	activate_user_tail_identity
ox5000-d06af1a8a59f85351d09	distract	verb	B2	відволікати		no	activate_user_tail_identity
ox5000-4d721e65830d97429964	disturb	verb	B2	турбувати		no	activate_user_tail_identity
ox5000-ed14861541109f849043	dive	noun	B2	пірнання		no	activate_user_tail_identity
ox5000-6295e7f64b9eba4b0db2	dive	verb	B2	пірнати		no	activate_user_tail_identity
ox5000-75ddd65afc704f846e0d	diverse	adjective	B2	різноманітний		no	activate_user_tail_identity
ox5000-4933941ca6507b1fe891	diversity	noun	B2	різноманітність		no	activate_user_tail_identity
ox5000-78eb3d58aa21dba7fa05	divorce	noun	B2	розлучення		no	activate_user_tail_identity
ox5000-b660b49beb0bdf43c376	divorce	verb	B2	розлучатися		no	activate_user_tail_identity
ox5000-55e604d6e26994b92541	dominant	adjective	B2	домінуючий		no	activate_user_tail_identity
ox5000-33b32b3d1d0304f7c6cf	donation	noun	B2	пожертва		no	activate_user_tail_identity
ox5000-d5832386f841cb656fdd	dot	noun	B2	крапка		no	activate_user_tail_identity
ox5000-b73b2ba3671d7892c96a	downtown	adjective	B2	центральний		no	activate_user_tail_identity
ox5000-b43793232b19c48ccb87	downtown	adverb	B2	у центрі міста		no	activate_user_tail_identity
ox5000-ec48035f7d2c76a494d0	downtown	noun	B2	центр міста		no	activate_user_tail_identity
ox5000-3f076cc2e24ceeab0e19	dramatically	adverb	B2	різко; драматично		no	activate_user_tail_identity
ox5000-28fce2fd6625072758dd	drought	noun	B2	посуха		no	activate_user_tail_identity
ox5000-315c08663012957ec8b3	dull	adjective	B2	нудний; тьмяний		no	activate_user_tail_identity
ox5000-c6dc877cf05d2ddfc872	dump	verb	B2	викидати		no	activate_user_tail_identity
ox5000-7f327ac67d3382af1f36	duration	noun	B2	тривалість		no	activate_user_tail_identity
ox5000-ef71bf152c656a55a7d0	dynamic	adjective	B2	динамічний		no	activate_user_tail_identity
ox5000-ca7f9728fd25d9f579b4	economics	noun	B2	економіка	економіка	yes	replace_v7_with_user_value
ox5000-fbacc78ff91e8803a76c	economist	noun	B2	економіст		no	activate_user_tail_identity
ox5000-0dffd09878151b2d113b	editorial	adjective	B2	редакційний		no	activate_user_tail_identity
ox5000-0f9b904543c55dfc5a83	efficiently	adverb	B2	ефективно		no	activate_user_tail_identity
ox5000-5c9a079bb10c55b83870	elbow	noun	B2	лікоть		no	activate_user_tail_identity
ox5000-c3007be8ab4931bb3d62	electronics	noun	B2	електроніка		no	activate_user_tail_identity
ox5000-2fe3e13b6adf5d961d3c	elegant	adjective	B2	елегантний		no	activate_user_tail_identity
ox5000-c051d0b14e7554a2af4d	elementary	adjective	B2	початковий		no	activate_user_tail_identity
ox5000-5ac94dbba9ae436c39a6	eliminate	verb	B2	усувати		no	activate_user_tail_identity
ox5000-08c78f8c2b7984d83249	embrace	verb	B2	обіймати; приймати		no	activate_user_tail_identity
ox5000-bda1ffe3536ced59e99a	emission	noun	B2	викид		no	activate_user_tail_identity
ox5000-240af653d10714d95f2d	emotionally	adverb	B2	емоційно		no	activate_user_tail_identity
ox5000-ee093cc46d1da14394f0	empire	noun	B2	імперія		no	activate_user_tail_identity
ox5000-31d2c935d6d641420ba1	enjoyable	adjective	B2	приємний		no	activate_user_tail_identity
ox5000-f49dfbb082c50aed8b4c	entertaining	adjective	B2	розважальний		no	activate_user_tail_identity
ox5000-8a474e14891c7a2f46d6	entrepreneur	noun	B2	підприємець		no	activate_user_tail_identity
ox5000-9ef7efb306accd10f03f	envelope	noun	B2	конверт		no	activate_user_tail_identity
ox5000-69666b6f95ecaf8dceb5	equip	verb	B2	оснащувати		no	activate_user_tail_identity
ox5000-bedeed830a30bd59f7b8	equivalent	adjective	B2	рівнозначний		no	activate_user_tail_identity
ox5000-eae218cc17da85168d23	equivalent	noun	B2	еквівалент		no	activate_user_tail_identity
ox5000-56b353657dba1a61f24a	era	noun	B2	епоха		no	activate_user_tail_identity
ox5000-30d669c469a9c6d1e040	erupt	verb	B2	вивергатися		no	activate_user_tail_identity
ox5000-ad62bcd01b35a0aa8cf5	essentially	adverb	B2	по суті		no	activate_user_tail_identity
ox5000-ae44c8e9073abc0a1382	ethic	noun	B2	етичний принцип		no	activate_user_tail_identity
ox5000-b5fe4ca0cb57767b5696	ethnic	adjective	B2	етнічний		no	activate_user_tail_identity
ox5000-d8b18880e169486d11a5	evaluation	noun	B2	оцінювання		no	activate_user_tail_identity
ox5000-38fabc705df782f15f98	evident	adjective	B2	очевидний		no	activate_user_tail_identity
ox5000-c10da450920e83775e89	evolution	noun	B2	еволюція		no	activate_user_tail_identity
ox5000-7ff21e9a0227dd05a0e5	evolve	verb	B2	розвиватися		no	activate_user_tail_identity
ox5000-a4eb18bbc1606607a948	exceed	verb	B2	перевищувати		no	activate_user_tail_identity
ox5000-3eaa6e8cecd547ed3cb7	exception	noun	B2	виняток		no	activate_user_tail_identity
ox5000-f04760f861e36a60749e	excessive	adjective	B2	надмірний		no	activate_user_tail_identity
ox5000-7ba09d1c95fa8a9511c4	exclude	verb	B2	виключати		no	activate_user_tail_identity
ox5000-423378269c32f713c96b	exhibit	noun	B2	експонат		no	activate_user_tail_identity
ox5000-31c37db5211ae9d29e59	exhibit	verb	B2	виставляти		no	activate_user_tail_identity
ox5000-19adc9708cbcd84850ba	exit	noun	B2	вихід		no	activate_user_tail_identity
ox5000-8a0eec8f77097262e252	exotic	adjective	B2	екзотичний		no	activate_user_tail_identity
ox5000-b02ca5f0dad7df4d2555	expansion	noun	B2	розширення		no	activate_user_tail_identity
ox5000-db878068101448926700	expertise	noun	B2	фаховість; експертиза		no	activate_user_tail_identity
ox5000-ef4a7e83e64103fd38d7	exploit	verb	B2	використовувати		no	activate_user_tail_identity
ox5000-da3a344a90cc77842f0f	exposure	noun	B2	вплив; експозиція		no	activate_user_tail_identity
ox5000-47ce42b1dcae59990d04	extension	noun	B2	розширення		no	activate_user_tail_identity
ox5000-293e2fc606e4bb1f9c71	extensive	adjective	B2	широкий; масштабний		no	activate_user_tail_identity
ox5000-0a3468782d34d84170d5	extensively	adverb	B2	широко; значною мірою		no	activate_user_tail_identity
ox5000-332726e8976ae1dd9d77	extract	noun	B2	витяг; екстракт		no	activate_user_tail_identity
ox5000-0f7caa6befc952d04c09	fabric	noun	B2	тканина		no	activate_user_tail_identity
ox5000-ef35efd68f20517aad21	fabulous	adjective	B2	чудовий		no	activate_user_tail_identity
ox5000-17a2d8b159c132a215ea	failed	adjective	B2	невдалий		no	activate_user_tail_identity
ox5000-2134f21a7877889bc152	fake	adjective	B2	підроблений		no	activate_user_tail_identity
ox5000-af9f6fc2822a5032991b	fame	noun	B2	слава		no	activate_user_tail_identity
ox5000-5838fae45af6b7342ff4	fantasy	noun	B2	фантазія		no	activate_user_tail_identity
ox5000-e62ff1e0d169e7695c4a	fare	noun	B2	плата за проїзд		no	activate_user_tail_identity
ox5000-5c5f6469717804efa6ca	federal	adjective	B2	федеральний		no	activate_user_tail_identity
ox5000-6da150f86ef5e4cdec6d	fever	noun	B2	лихоманка		no	activate_user_tail_identity
ox5000-b780af72eaa52c9bcfa6	firefighter	noun	B2	пожежник		no	activate_user_tail_identity
ox5000-6e881b75f8a8d383a4fe	firework	noun	B2	феєрверк		no	activate_user_tail_identity
ox5000-e8f9305cf8015bbc5cee	firm	adjective	B2	твердий; стійкий		no	activate_user_tail_identity
ox5000-4f6617b9287ff2da9ea7	firmly	adverb	B2	твердо		no	activate_user_tail_identity
ox5000-bd79c052fa5d352fbb27	flavour	noun	B2	смак; аромат		no	activate_user_tail_identity
ox5000-cc984d8d5615f983c4c8	fond	adjective	B2	люблячий; прихильний		no	activate_user_tail_identity
ox5000-afa74ec045528b9642d4	fool	noun	B2	дурень		no	activate_user_tail_identity
ox5000-e74afd4a21b32dd7948a	forbid	verb	B2	забороняти		no	activate_user_tail_identity
ox5000-8f0a5905b743e6145587	forecast	noun	B2	прогноз		no	activate_user_tail_identity
ox5000-3a0f5941248926ec1d37	forecast	verb	B2	прогнозувати		no	activate_user_tail_identity
ox5000-727991f6048fe8ce77d0	foreigner	noun	C1	іноземець		no	activate_user_tail_identity
ox5000-0ca7565db377e67a8c2c	format	noun	B2	формат		no	activate_user_tail_identity
ox5000-44a935daea3b2b80e426	formation	noun	B2	формування		no	activate_user_tail_identity
ox5000-364abe382625d64bbd07	formerly	adverb	B2	раніше; колись		no	activate_user_tail_identity
ox5000-99537d5150d0cdb742b2	formula	noun	C1	формула		no	activate_user_tail_identity
ox5000-9f9486a0d8382b5782ea	fortunate	adjective	B2	щасливий; вдалий		no	activate_user_tail_identity
ox5000-51f9239c5d82f1daf597	forum	noun	B2	форум		no	activate_user_tail_identity
ox5000-fdfbff9a3658ec4c47d7	fossil	noun	B2	викопна рештка		no	activate_user_tail_identity
ox5000-3826a189ea9ac3d0931e	foundation	noun	B2	основа; фонд		no	activate_user_tail_identity
ox5000-01eabf8856766ebc8e63	founder	noun	B2	засновник		no	activate_user_tail_identity
ox5000-1bc4348190f7b6ca8ea3	fraction	noun	B2	частка; дріб		no	activate_user_tail_identity
ox5000-29bed3900aea762df21c	fragment	noun	B2	фрагмент		no	activate_user_tail_identity
ox5000-8eb2e0b61582abcd29fd	framework	noun	B2	структура; рамкова система		no	activate_user_tail_identity
ox5000-d11ee536f206623dd9f9	fraud	noun	B2	шахрайство		no	activate_user_tail_identity
ox5000-a2f3332e44595061040d	freely	adverb	B2	вільно		no	activate_user_tail_identity
ox5000-af3d7f706d9de6258253	frequent	adjective	B2	частий		no	activate_user_tail_identity
ox5000-7d8f5e0b4363007ea90f	fulfil	verb	B2	виконувати		no	activate_user_tail_identity
ox5000-842908a0c1db6a162da8	full-time	adjective	B2	повний робочий день		no	activate_user_tail_identity
ox5000-02b2b92d62fbdb8d9849	full-time	adverb	B2	повний робочий день		no	activate_user_tail_identity
ox5000-40c7d5e1dedb6b8d1d14	fundamentally	adverb	B2	фундаментально; по суті		no	activate_user_tail_identity
ox5000-f0d18f20e6160ed0969d	furious	adjective	B2	лютий; розлючений		no	activate_user_tail_identity
ox5000-19dcdb5e045a76a294ff	gaming	noun	B2	ігрова діяльність		no	activate_user_tail_identity
ox5000-75514d52c27e0f4cd7f7	gay	adjective	B2	гомосексуальний		no	activate_user_tail_identity
ox5000-59f5f085529f2ddbf319	gender	noun	B2	гендер		no	activate_user_tail_identity
ox5000-46c3d06bb042acc4ae37	gene	noun	B2	ген		no	activate_user_tail_identity
ox5000-94877a610fe8476c7f15	genetic	adjective	B2	генетичний		no	activate_user_tail_identity
ox5000-38ca77b3038a730f48dc	genius	noun	B2	геній		no	activate_user_tail_identity
ox5000-05655f6fadd0b485ca75	genuine	adjective	B2	справжній		no	activate_user_tail_identity
ox5000-80a11eeb9358a7e9644e	genuinely	adverb	B2	щиро; справді		no	activate_user_tail_identity
ox5000-50d8b4ca875ee4a7096d	gesture	noun	B2	жест		no	activate_user_tail_identity
ox5000-0910ae2efee31d9ab3a4	gig	noun	B2	виступ; концерт		no	activate_user_tail_identity
ox5000-127e5b46dd0bae6f7a06	glance	noun	C1	погляд		no	activate_user_tail_identity
ox5000-7a202570f29a7f4daf74	glance	verb	C1	глянути		no	activate_user_tail_identity
ox5000-78a493bf921bb7477c7c	glimpse	noun	C1	проблиск; короткий погляд		no	activate_user_tail_identity
ox5000-2a12e5e092f583e5e7b5	globalization	noun	B2	глобалізація		no	activate_user_tail_identity
ox5000-2c70ba897b47d73650bb	globe	noun	B2	земна куля		no	activate_user_tail_identity
ox5000-c4006c27fe4f74c08ec9	golden	adjective	B2	золотий		no	activate_user_tail_identity
ox5000-29f67b0d52a0d9907076	goodness	noun	B2	доброта		no	activate_user_tail_identity
ox5000-8645840cb5bbd2168ad2	gorgeous	adjective	B2	розкішний; чудовий		no	activate_user_tail_identity
ox5000-4e4e1337cc88e43cc243	governor	noun	B2	губернатор		no	activate_user_tail_identity
ox5000-9fa3b95bc325a8e5a0bc	graphic	adjective	B2	графічний		no	activate_user_tail_identity
ox5000-f6db7a1824f60f3e32a1	graphics	noun	B2	графіка		no	activate_user_tail_identity
ox5000-f20da69ea37da6663eb9	greatly	adverb	B2	значно; дуже		no	activate_user_tail_identity
ox5000-b31fc31f4e51a7bcac20	greenhouse	noun	B2	теплиця		no	activate_user_tail_identity
ox5000-ff9332c8a6a6a58fb82f	grocery	noun	B2	бакалія; продуктовий магазин		no	activate_user_tail_identity
ox5000-889e167db140abcc55ee	guideline	noun	B2	настанова; рекомендація		no	activate_user_tail_identity
ox5000-196e7e40d3dea9806f88	habitat	noun	B2	середовище існування		no	activate_user_tail_identity
ox5000-e1c41e9f875382fe57b7	harbour	noun	B2	гавань		no	activate_user_tail_identity
ox5000-2810d4945e0b4cbb8892	headquarters	noun	B2	штаб-квартира		no	activate_user_tail_identity
ox5000-ef704d39fcedac1879a3	heal	verb	B2	лікувати; загоювати		no	activate_user_tail_identity
ox5000-984f901bff540521430c	healthcare	noun	B2	охорона здоров'я		no	activate_user_tail_identity
ox5000-391293d6fb6a7618d9b1	helmet	noun	B2	шолом		no	activate_user_tail_identity
ox5000-b0e9a621ac9c68faa293	hence	adverb	B2	отже; звідси		no	activate_user_tail_identity
ox5000-94aa2afe2d9372cb4229	herb	noun	B2	трава; лікарська рослина		no	activate_user_tail_identity
ox5000-d3e2e909a6622cd172bf	hidden	adjective	B2	прихований		no	activate_user_tail_identity
ox5000-50fc0bc84b3fc5dc83ac	highway	noun	B2	автомагістраль		no	activate_user_tail_identity
ox5000-b6f7336242fe1a0172bf	hilarious	adjective	B2	дуже смішний		no	activate_user_tail_identity
ox5000-dfe0006f6faea4481b74	hip	noun	B2	стегно		no	activate_user_tail_identity
ox5000-65b7be2b102eaacebdf0	historian	noun	B2	історик		no	activate_user_tail_identity
ox5000-45d3403127f71104c337	homeless	adjective	B2	бездомний		no	activate_user_tail_identity
ox5000-101f93ba1a99dadfbee0	honesty	noun	B2	чесність		no	activate_user_tail_identity
ox5000-5a8626cc70e9e3ad32a4	hook	noun	B2	гачок		no	activate_user_tail_identity
ox5000-b6de68069d4b1653da28	hopefully	adverb	B2	сподіваюся		no	activate_user_tail_identity
ox5000-5b96940d18199354bf42	hunger	noun	B2	голод		no	activate_user_tail_identity
ox5000-6826ffff72382c3098c5	hypothesis	noun	B2	гіпотеза		no	activate_user_tail_identity
ox5000-dac0118b6e5ac4e7e31f	icon	noun	B2	значок; ікона		no	activate_user_tail_identity
ox5000-0266b44058e618706301	ID	noun	B2	посвідчення особи		no	activate_user_tail_identity
ox5000-cba028b70a26fb8e973b	identical	adjective	B2	ідентичний		no	activate_user_tail_identity
ox5000-530d3802d61ad0aefab6	illusion	noun	B2	ілюзія		no	activate_user_tail_identity
ox5000-fe7c0867a2f339b6f398	immigration	noun	B2	імміграція		no	activate_user_tail_identity
ox5000-39a64cc0f2bccb1d329c	immune	adjective	B2	імунний		no	activate_user_tail_identity
ox5000-c1c5fbcd8bef4eef712e	implement	verb	B2	впроваджувати		no	activate_user_tail_identity
ox5000-2ab7636cef93aa6ee33e	implication	noun	B2	наслідок; підтекст		no	activate_user_tail_identity
ox5000-45c8c81f5a8d00df51ee	incentive	noun	B2	стимул		no	activate_user_tail_identity
ox5000-0619be0d2f24cb68b967	incorporate	verb	B2	включати		no	activate_user_tail_identity
ox5000-e6ba4bdf14d730fcb39b	incorrect	adjective	B2	неправильний		no	activate_user_tail_identity
ox5000-ef97a46763f2c6c5b237	independence	noun	B2	незалежність		no	activate_user_tail_identity
